offer_id,unit_price_in_per_1m,unit_price_out_per_1m,cache_read_price_per_1m,cache_write_price_per_1m,currency,billing_mode,pricing_source
6,1.00,5.00,,,USD,token,imported
4,5.00,25.00,,,USD,token,imported
7,5.00,25.00,,,USD,token,imported
8,5.00,25.00,,,USD,token,imported
5,3.00,15.00,,,USD,token,imported
15,0.27,1.10,,,USD,token,imported
17,0.14,0.28,0.0028,,USD,token,imported
16,0.435,0.87,0.003625,,USD,token,imported
12,0.50,3.00,,,USD,token,imported
20,0.30,2.50,,,USD,token,imported
13,2.00,12.00,,,USD,token,imported
50,2.00,8.00,,,CNY,token,imported
49,4.00,18.00,,,CNY,token,imported
14,6.00,24.00,,,CNY,token,imported
10,2.50,15.00,,,USD,token,imported
9,5.00,30.00,,,USD,token,imported
11,2.50,15.00,,,USD,token,imported
19,0.04,0.04,,,USD,token,imported
51,0.35,1.89,,,USD,token,imported
52,0.67,3.39,,,USD,token,imported
18,0.30,1.20,0.06,0.375,USD,token,imported
24,0.30,1.20,0.06,,USD,token,imported
23,0.30,1.20,0.06,0.375,USD,token,imported
25,1.00,2.00,,,USD,token,imported
26,0.20,0.40,,,USD,token,imported
27,0.20,0.40,,,USD,token,imported
41,0.435,0.87,,,CNY,token_plan,imported
36,0.14,0.28,,,CNY,token_plan,imported
33,0.14,0.28,,,CNY,token_plan,imported
22,0.14,0.28,,,CNY,token_plan,imported
34,0,,,{tier:Standard,CNY,token_plan,imported
37,0,,,{tier:Standard,CNY,token_plan,imported
45,0,,,{tier:Standard,CNY,token_plan,imported
46,0,,,{tier:Standard,CNY,token_plan,imported
47,0,,,{tier:Standard,CNY,token_plan,imported
55,6.00,24.00,,,CNY,token,imported
71,2.00,8.00,,,CNY,token,imported
72,4.00,18.00,,,CNY,token,imported
73,5.00,22.00,,,CNY,token,imported
53,0.80,2.00,,,CNY,token,imported
54,2.00,8.00,,,CNY,token,imported
21,1.00,4.00,,,CNY,token,imported
28,0.50,0.25,,,CNY,token,imported
29,0,0,,,CNY,token,imported
30,5.00,2.50,,,CNY,token,imported
59,0.30,0.60,,,CNY,token,imported
60,0.80,2.00,,,CNY,token,imported
61,0,0,,,CNY,token,imported
62,3.20,16.00,,,CNY,token,imported
63,0.80,2.00,,,CNY,token,imported
64,0,0,,,CNY,token,imported
42,0,0,,,CNY,token_plan,imported
43,0.30,0.60,,,CNY,token_plan,imported
57,0.30,0.60,,,CNY,token_plan,imported
58,3.20,16.00,,,CNY,token_plan,imported
44,0.80,2.00,,,CNY,token_plan,imported
65,3.00,15.00,,,USD,token,imported
66,10.00,30.00,,,USD,token,imported
67,2.50,10.00,,,USD,token,imported
68,0.15,0.60,,,USD,token,imported
69,0.30,1.20,,,USD,token,imported
70,0.40,1.20,,,CNY,token,imported
38,0.80,4.00,,,USD,token,imported
39,3.00,15.00,,,USD,token,imported
40,2.50,10.00,,,USD,token,imported
56,0.15,0.60,,,USD,token,imported
