offer_id,unit_price_in_per_1m,unit_price_out_per_1m,cache_read_price_per_1m,cache_write_price_per_1m,currency,billing_mode,pricing_source
1,0.1,0.0,,,CNY,token,tier1_or_official_forwarded
2,2.0,2.0,,,CNY,token,tier1_or_official_forwarded
31,0.075,0.3,,,USD,token,tier1_or_official_forwarded
32,0.3,0.6,,,CNY,token,tier1_or_official_forwarded
35,0.0,0.0,,,CNY,token,tier1_or_official_forwarded
42,0.1,0.1,,,USD,token,tier1_or_official_forwarded
48,0.1,0.2,,,CNY,token,tier1_or_official_forwarded
61,2.0,6.0,,,USD,token,tier1_or_official_forwarded
64,0.5,1.5,,,USD,token,tier1_or_official_forwarded
74,0.3,0.6,,,CNY,token,tier1_or_official_forwarded
75,0.8,2.0,,,CNY,token,tier1_or_official_forwarded
80,3.0,15.0,,,USD,token,tier1_or_official_forwarded
81,3.0,15.0,,,USD,token,tier1_or_official_forwarded
82,0.8,4.0,,,USD,token,tier1_or_official_forwarded
83,1.25,10.0,,,USD,token,tier1_or_official_forwarded
84,0.075,0.3,,,USD,token,tier1_or_official_forwarded
85,0.1,0.4,,,USD,token,tier1_or_official_forwarded
86,0.025,0.1,,,USD,token,tier1_or_official_forwarded
87,1.25,5.0,,,USD,token,tier1_or_official_forwarded
88,0.27,1.1,,,USD,token,tier1_or_official_forwarded
89,0.27,1.1,,,USD,token,tier1_or_official_forwarded
90,0.55,2.19,,,USD,token,tier1_or_official_forwarded
91,2.4,9.6,,,CNY,token,tier1_or_official_forwarded
92,0.8,2.0,,,CNY,token,tier1_or_official_forwarded
93,0.3,0.6,,,CNY,token,tier1_or_official_forwarded
94,0.4,1.2,,,CNY,token,tier1_or_official_forwarded
95,0.1,0.2,,,CNY,token,tier1_or_official_forwarded
96,0.5,1.5,,,CNY,token,tier1_or_official_forwarded
97,1.5,4.0,,,CNY,token,tier1_or_official_forwarded
98,0.8,2.0,,,CNY,token,tier1_or_official_forwarded
99,0.05,0.1,,,CNY,token,tier1_or_official_forwarded
100,0.8,2.0,,,CNY,token,tier1_or_official_forwarded
101,0.1,0.0,,,CNY,token,tier1_or_official_forwarded
102,1.2,4.8,,,CNY,token,tier1_or_official_forwarded
103,0.8,2.0,,,CNY,token,tier1_or_official_forwarded
104,0.3,0.6,,,CNY,token,tier1_or_official_forwarded
105,0.0,0.0,,,CNY,token,tier1_or_official_forwarded
106,0.6,2.2,,,USD,token,tier1_or_official_forwarded
107,0.0,0.0,,,USD,token,tier1_or_official_forwarded
108,0.125,0.85,,,USD,token,tier1_or_official_forwarded
109,0.1,0.1,,,CNY,token,tier1_or_official_forwarded
110,0.0,0.0,,,CNY,token,tier1_or_official_forwarded
111,0.001,0.001,,,CNY,token,tier1_or_official_forwarded
112,0.001,0.001,,,CNY,token,tier1_or_official_forwarded
113,0.0,0.0,,,CNY,token,tier1_or_official_forwarded
114,0.1,0.32,,,USD,token,tier1_or_official_forwarded
115,0.18,0.18,,,USD,token,tier1_or_official_forwarded
116,0.03,0.06,,,USD,token,tier1_or_official_forwarded
117,0.02,0.02,,,USD,token,tier1_or_official_forwarded
118,0.35,0.65,,,USD,token,tier1_or_official_forwarded
119,2.0,2.0,,,USD,token,tier1_or_official_forwarded
120,0.25,1.0,,,USD,token,tier1_or_official_forwarded
121,0.15,0.9,,,USD,token,tier1_or_official_forwarded
