canonical_name,family,parameters_b,modality,context_window,multimodal_caps,context_window_override,context_window_source,released_at,version_rank,complexity_ceiling,display_name,notes
abab5.5-chat,abab5.5,,text,16384,{},,catalog,,,easy,abab5.5-chat,
abab6.5s-chat,abab6.5s,,text,245760,{},,catalog,,,easy,abab6.5s-chat,稀宇科技 ABAB 6.5s Chat (旧系列)
allamoe-13b,allamoe,,text,,{},,catalog,,,,allamoe-13b,SDAIA ALLaMo-E 13B
claude-3-5-haiku,anthropic-claude,,multimodal,200000,{},,catalog,,,,claude-3-5-haiku,
claude-3-5-sonnet,anthropic-claude,,multimodal,200000,{},,catalog,,,,claude-3-5-sonnet,
claude-3-5-sonnet-20241022,anthropic-claude,,multimodal,200000,{},,manual,,,,claude-3-5-sonnet-20241022,Anthropic Claude 3.5 Sonnet
claude-3-7-sonnet,anthropic-claude,,multimodal,200000,{},,catalog,,,,claude-3-7-sonnet,
claude-haiku-4.5,anthropic-claude,,multimodal,200000,{},,catalog,,,,claude-haiku-4.5,
claude-haiku-4.6,anthropic-claude,,multimodal,200000,{},,catalog,,,,claude-haiku-4.6,
claude-opus-4,anthropic-claude,,multimodal,200000,{},,catalog,,,,claude-opus-4,
claude-opus-4.5,anthropic-claude,,multimodal,200000,{},,catalog,,,,claude-opus-4.5,
claude-opus-4.6,anthropic-claude,,multimodal,200000,{},,catalog,,,,claude-opus-4.6,
claude-opus-4.7,anthropic-claude,,multimodal,200000,{},,catalog,,,,claude-opus-4.7,
claude-sonnet-4,anthropic-claude,,multimodal,200000,{},,manual,,,,claude-sonnet-4,Agent terminal display name
claude-sonnet-4.5,anthropic-claude,,multimodal,200000,{},,catalog,,,,claude-sonnet-4.5,
claude-sonnet-4.6,anthropic-claude,,multimodal,200000,{},,catalog,,,,claude-sonnet-4.6,
baichuan-13b,baichuan,,text,,{},,catalog,,,,baichuan-13b,百川智能 Baichuan 13B
baichuan-53b,baichuan,,text,,{},,catalog,,,,baichuan-53b,百川智能 Baichuan 53B
baichuan3-turbo,baichuan,,text,32768,{},,catalog,,,,baichuan3-turbo,
baichuan3-turbo-128k,baichuan,,text,131072,{},,catalog,,,,baichuan3-turbo-128k,
baichuan4,baichuan,,text,32768,{},,catalog,,,,baichuan4,
bloom-176b,bigscience-bloom,,text,,{},,catalog,,,,bloom-176b,BigScience BLOOM 176B
command-r,cohere,,text,131072,{},,catalog,,,,command-r,
command-r-plus,cohere,,text,131072,{},,catalog,,,,command-r-plus,Cohere Command R+
embed-v3,cohere,,text,,{},,catalog,,,,embed-v3,Cohere Embed v3
rerank-v3,cohere,,text,,{},,catalog,,,,rerank-v3,Cohere Rerank v3
composer,cursor,,text,,{},,catalog,,,,composer,Cursor Composer alias
cursor-small,cursor,,text,,{},,catalog,,,,cursor-small,Cursor Small
deepseek-chat,deepseek,,text,65536,{},,manual,,,,deepseek-chat,深度求索 DeepSeek Chat
deepseek-coder,deepseek,,text,65536,{},,manual,,,,deepseek-coder,深度求索 DeepSeek Coder
deepseek-r1,deepseek,671.00,text,65536,{},,catalog,,,hard,deepseek-r1,reasoning
deepseek-v3,deepseek,671.00,text,65536,{},,catalog,,,medium,deepseek-v3,
deepseek-v3.1,deepseek,671.00,text,65536,{},,catalog,,,,deepseek-v3.1,
deepseek-v3.2,deepseek,,multimodal,131072,{},,manual,,,,deepseek-v3.2,
deepseek-v3.2-exp,deepseek,,multimodal,131072,{},,manual,,,,deepseek-v3.2-exp,
deepseek-v4-flash,deepseek,,multimodal,131072,{},,manual,,,medium,deepseek-v4-flash,
deepseek-v4-flash-vision-exp,deepseek,,multimodal,131072,{},,manual,,,,deepseek-v4-flash-vision-exp,
deepseek-v4-pro,deepseek,,multimodal,131072,{},,manual,,,hard,deepseek-v4-pro,
deepseek-v4-pro-cn,deepseek,,multimodal,131072,{},,manual,,,,deepseek-v4-pro-cn,
doubao-1-5-lite-32k,doubao,,text,32768,{},,catalog,,,medium,doubao-1-5-lite-32k,
doubao-1-5-pro-256k,doubao,,text,262144,{},,catalog,,,medium,doubao-1-5-pro-256k,
doubao-1-5-pro-32k,doubao,,text,32768,{},,catalog,,,medium,doubao-1-5-pro-32k,
doubao-embedding-large-text,doubao,,embedding,8192,{},,catalog,,,,doubao-embedding-large-text,
doubao-embedding-vision,doubao,,embedding,32768,{},,catalog,,,,doubao-embedding-vision,
doubao-lite-4k,doubao,,text,4096,{},,catalog,,,easy,doubao-lite-4k,字节跳动 豆包 Lite 4K
doubao-pro-128k,doubao,,text,131072,{},,catalog,,,medium,doubao-pro-128k,
doubao-pro-32k,doubao,,text,32768,{},,catalog,,,medium,doubao-pro-32k,字节跳动 豆包 Pro 32K
doubao-pro-4k,doubao,,text,4096,{},,catalog,,,medium,doubao-pro-4k,
doubao-seed-2-0-code-preview-260215,doubao,,text,131072,{},,manual,,,,doubao-seed-2-0-code-preview-260215,
doubao-seed-2.0-lite,doubao,,text,131072,{},,catalog,,,,doubao-seed-2.0-lite,
doubao-seed-2.0-mini,doubao,,text,131072,{},,catalog,,,,doubao-seed-2.0-mini,
doubao-seed-2.0-pro,doubao,,text,131072,{},,catalog,,,,doubao-seed-2.0-pro,
gpt-neox-20b,eleutherai,,text,,{},,catalog,,,,gpt-neox-20b,EleutherAI GPT-NeoX 20B
pythia-12b,eleutherai,,text,,{},,catalog,,,,pythia-12b,EleutherAI Pythia 12B
ernie-3.5-8k,ernie,,text,8192,{},,manual,,,,ernie-3.5-8k,百度 文心一言 3.5
ernie-4.0-turbo-128k,ernie,,text,131072,{},,manual,,,,ernie-4.0-turbo-128k,百度 文心一言 4.0 Turbo
falcon-180b,falcon,,text,,{},,catalog,,,,falcon-180b,Inception Falcon 180B
gemma-2-27b,gemma,,text,,{},,catalog,,,,gemma-2-27b,Google Gemma 2 27B
gemma-7b,gemma,,text,,{},,catalog,,,,gemma-7b,Google Gemma 7B
gemini-1.5-flash,google-gemini,,multimodal,1048576,{},,catalog,,,,gemini-1.5-flash,
gemini-1.5-pro,google-gemini,,multimodal,2097152,{},,catalog,,,,gemini-1.5-pro,Google Gemini 1.5 Pro
gemini-2.0-flash,google-gemini,,multimodal,1048576,{},,catalog,,,,gemini-2.0-flash,
gemini-2.0-flash-exp,google-gemini,,multimodal,1048576,{},,manual,,,,gemini-2.0-flash-exp,Google Gemini 2.0 Flash
gemini-2.0-flash-lite,google-gemini,,multimodal,1048576,{},,catalog,,,,gemini-2.0-flash-lite,
